RunTime,rad,value,ID,coefficients..Intercept.,coefficients.x1,R.squared,std.error..Intercept.,std.error.x1,timepoint
247.7948958,541,199.5381283,18,48.10114811,0.611423652,0.988383878,1.642618309,0.006695715,june
256.2943231,609,205.6376248,18,21.11342849,0.719959367,0.982422225,2.469223393,0.009728095,june
266.3951056,668,212.9336943,18,32.9789609,0.675663264,0.985657411,2.172931142,0.008233188,june
285.1609257,0,241.4895017,2,625.6784631,-1.346962919,0.997146746,2.057517939,0.007278356,june
164.6608796,112,187.7078457,2,320.6071437,-0.806921607,0.992980431,1.111563823,0.006853354,june
170.0607858,180,185.188952,2,194.0046825,-0.052824905,0.95218485,1.543502142,0.009209841,june
185.8772132,272,188.3030439,2,95.76785633,0.497950548,0.989976182,0.928250705,0.005061478,june
196.8302091,351,196.9438152,2,20.82162401,0.894779455,0.996717269,1.008178488,0.00518722,june
207.6274624,430,208.4228715,2,-30.21021275,1.149327022,0.997747562,1.131708374,0.005516284,june
224.8944526,482,229.0042594,2,-62.77171037,1.297238862,0.9978505,1.352771442,0.00608195,june
250.9938867,541,216.7595009,2,-149.5109642,1.459026613,0.997069632,1.98571126,0.007990032,june
257.5439085,609,225.8814133,2,-144.4901754,1.437937608,0.997930895,1.687073377,0.006614059,june
268.7941021,668,242.9429611,2,-164.1513762,1.514629456,0.997387657,2.085382148,0.007830264,june
130.5935012,0,205.9442371,22,291.4412663,-0.654640204,0.99126214,0.795499476,0.006208661,june
20.74414829,112,175.7019291,22,179.312165,-0.173437012,0.954594945,0.070023502,0.003820949,june
31.19359147,180,176.0310937,22,172.8282462,0.100312952,0.813303313,0.13976396,0.004854964,june
42.79432527,272,179.4497053,22,161.8638276,0.411207859,0.98878106,0.178510431,0.004424602,june
51.89394559,351,183.8844537,22,155.1791824,0.553345862,0.991784181,0.251524913,0.005087454,june
60.9937732,430,189.7707972,22,147.8722893,0.685635779,0.990731301,0.392140514,0.006699029,june
69.09422167,482,195.6303682,22,142.9097475,0.762724076,0.995514668,0.344611956,0.005171635,june
75.44413593,541,200.5383673,22,140.859536,0.790291981,0.994704106,0.425129996,0.005825017,june
109.594497,609,202.7131563,22,111.2420442,0.834813284,0.994308155,0.683519597,0.006380318,june
117.9938663,668,210.0310782,22,106.0232946,0.881033007,0.993712628,0.817847914,0.007079186,june
