RunTime,rad,value,ID,coefficients..Intercept.,coefficients.x1,R.squared,std.error..Intercept.,std.error.x1,timepoint
196.8604853,0,292.5998855,100,464.6364368,-0.872725532,0.982096785,2.313820488,0.011902906,july
32.29411865,112,171.1069493,100,170.9829081,0.003825963,0.895313065,1.114681118,0.037337679,july
63.79436106,180,180.2192027,100,138.618442,0.651819654,0.996166583,0.25052905,0.004084524,july
89.29397349,272,199.7398288,100,102.0640446,1.094838275,0.997828533,0.4479826,0.005159239,july
98.4440835,351,209.611698,100,77.25873423,1.346997365,0.987673374,1.458982191,0.015200894,july
108.1938778,430,223.7722349,100,65.75152983,1.457014851,0.993020059,1.304643759,0.012339507,july
130.5771768,482,222.6118898,100,64.32889984,1.213205916,0.992808881,1.336201647,0.010430062,july
142.6279053,541,240.5767212,100,-13.77082654,1.779523813,0.973559297,4.152121057,0.029624161,july
158.5107431,609,265.4833649,100,20.49468854,1.542378587,0.982526214,3.242219166,0.020777791,july
177.3112577,668,303.8719646,100,-9.729062512,1.76780034,0.993146971,2.59358259,0.014833878,july
422.1609415,0,279.2812617,104,705.4276032,-1.010025586,0.991885803,3.872917495,0.009228078,july
231.3605825,112,201.4344929,104,272.2547447,-0.305383039,0.969696439,2.53988213,0.011096496,july
273.5108698,180,206.4725834,104,13.35532048,0.706825425,0.985635313,2.33626449,0.008619639,july
285.8607866,272,220.3755991,104,-163.5044082,1.343055117,0.998370423,1.553303479,0.005481158,july
293.9610978,351,233.862304,104,-300.5058676,1.817709769,0.997633064,2.607007995,0.008943743,july
304.3606257,430,253.113607,104,-364.7301731,2.028965315,0.996217598,3.812555557,0.012628981,july
329.3609875,482,244.8589295,104,-450.5796804,2.111678282,0.996089253,4.369139666,0.013365815,july
338.3115232,541,268.1663466,104,-691.4917893,2.835403951,0.995098132,6.751199217,0.020102485,july
376.5779483,609,261.5734547,104,-218.7444563,1.276185852,0.993876875,3.785428995,0.010118617,july
389.9278104,668,276.2659892,104,-121.6295474,1.020184045,0.986094812,4.741504708,0.012237553,july
323.8552185,0,198.0941243,11,396.7380094,-0.613112804,0.991038216,1.892792748,0.005889513,july
198.5556163,112,235.3394026,11,351.7546551,-0.586471761,0.98733881,1.315479702,0.006708698,july
204.5052288,180,232.2663585,11,333.7692845,-0.496321959,0.982010694,1.370967799,0.006785776,july
215.705124,272,228.2609795,11,297.3977244,-0.320642587,0.963196721,1.350059466,0.006331315,july
225.9557168,351,225.4960857,11,282.9866896,-0.254391405,0.939510196,1.457229911,0.006520483,july
239.1220544,430,222.8909043,11,274.3620742,-0.215866446,0.975411191,0.817654158,0.003462159,july
282.2557012,482,208.5693349,11,264.9731775,-0.176508725,0.98008177,2.356782544,0.008732342,july
290.1052114,541,206.9067051,11,257.3911814,-0.173903005,0.920748243,1.482409724,0.005153806,july
300.1055181,609,205.4583669,11,245.3862636,-0.132971971,0.845031132,1.712045805,0.005752186,july
307.355723,668,204.3610329,11,246.3358696,-0.136324203,0.847413598,1.781576751,0.005843461,july
194.9608005,0,250.6675659,119,408.8822414,-0.811241475,0.992571365,1.36465162,0.007089421,july
46.69404946,112,166.7018767,119,180.4037711,-0.275946874,0.924617411,0.606697509,0.013712933,july
77.54404562,180,168.809592,119,150.330738,0.237456051,0.931811784,0.487194556,0.006488746,july
89.24414255,272,173.1395285,119,133.5791861,0.442698985,0.971660542,0.66276473,0.007637197,july
101.0938066,351,181.1853798,119,105.4201572,0.748274065,0.992949791,0.62819252,0.006369202,july
109.293815,430,187.9722057,119,83.28182373,0.958544118,0.995851546,0.667626686,0.006249495,july
131.6776953,482,194.8839134,119,65.23806124,0.983996012,0.991325839,1.201389696,0.00929792,july
140.2775899,541,205.2154356,119,17.56384235,1.337990416,0.995092369,1.308052541,0.009491705,july
155.410716,609,223.6512261,119,28.50324246,1.255496033,0.992827791,1.648619412,0.010779331,july
175.0611132,668,253.5876657,119,-4.710781823,1.476799374,0.995212671,1.785737587,0.010346588,july
422.710489,0,284.6852452,124,694.8458008,-0.973210261,0.832963393,18.50044866,0.044023697,july
239.9608125,112,199.298539,124,196.9014868,0.010971764,0.672438803,2.508433104,0.010562255,july
265.8112421,180,206.3001771,124,-10.82959649,0.817167472,0.995724325,1.424451387,0.005409173,july
280.8104973,272,221.300451,124,-157.0400562,1.347740996,0.996651162,2.196564551,0.007891669,july
291.8111472,351,238.70587,124,-275.5157889,1.762921954,0.993898159,4.037266615,0.013953384,july
304.0607654,430,262.0395535,124,-380.994256,2.115020679,0.985930778,7.697141308,0.025521924,july
325.7108076,482,251.3064375,124,-377.5124818,1.929420395,0.995458906,4.25506787,0.013163835,july
335.860941,541,272.9523874,124,-535.741829,2.408610018,0.991106665,7.683815519,0.023047593,july
383.4777987,609,273.7154117,124,-372.4816962,1.685329291,0.991026438,6.172236771,0.016199871,july
389.327567,668,279.8281926,124,-160.2064322,1.130432853,0.962312702,8.742178183,0.022598058,july
191.7605501,0,292.9359293,128,601.2701839,-1.607761347,0.994940063,2.192368108,0.011581975,july
36.24433861,112,156.1011967,128,161.1595726,-0.141046884,0.856380202,0.197215428,0.005834778,july
68.9443082,180,169.7243636,128,111.5153719,0.843960929,0.995749785,0.370307333,0.005569801,july
88.34376479,272,189.8754182,128,53.66361193,1.543964139,0.997649709,0.65012141,0.007570001,july
100.8441088,351,214.3491258,128,-0.299566014,2.128244277,0.998610685,0.788889838,0.008018824,july
110.6441941,430,237.1670251,128,-30.75869337,2.421514589,0.997774953,1.249595486,0.011551206,july
