frag,parent_colony,day,treatment,symbiont,bleach_hist,FvFm,pair_location,initial_tank,hist_symb,avg_red_intensity,spawn
77,201,6/27/19,28¡,C,B,0.691,d,9,B C,0.998588607,
78,201,6/27/19,28¡,C,B,NA,d,13,B C,1.075600997,
79,201,7/8/19,28¡,C,B,0.615,d,11,B C,1.047295508,
79,201,7/21/19,28¡,C,B,0.614,d,11,B C,1.039348998,
79,201,7/8/19,28¡,C,B,0.615,d,11,B C,1.064382481,
80,201,7/8/19,28¡,C,B,0.669,d,13,B C,0.97126338,
80,201,7/21/19,28¡,C,B,0.654,d,13,B C,1.00846309,
80,201,6/27/19,28¡,C,B,0.676,d,13,B C,1.02431363,
81,203,6/27/19,28¡,C,B,0.688,e,11,B C,1.066210273,
82,203,7/21/19,28¡,C,B,0.66,e,13,B C,1.046183276,
82,203,7/8/19,28¡,C,B,0.714,e,13,B C,1.059432093,
82,203,6/27/19,28¡,C,B,0.723,e,13,B C,1.058289887,
82,203,7/8/19,28¡,C,B,0.714,e,13,B C,1.059897177,
83,203,6/27/19,28¡,C,B,NA,e,11,B C,1.142452473,
84,203,6/27/19,28¡,C,B,0.711,e,9,B C,1.071762048,
84,203,7/8/19,28¡,C,B,0.681,e,9,B C,1.062388659,
84,203,7/21/19,28¡,C,B,0.645,e,9,B C,1.023561782,
85,211,6/27/19,28¡,C,B,0.725,i,13,B C,1.104207157,
86,211,6/27/19,28¡,C,B,NA,i,11,B C,1.086077393,
87,211,6/27/19,28¡,C,B,0.743,i,9,B C,1.144298166,
87,211,7/21/19,28¡,C,B,0.685,i,9,B C,1.075372259,
87,211,7/8/19,28¡,C,B,0.718,i,9,B C,1.094858922,
88,211,7/21/19,28¡,C,B,0.629,i,9,B C,1.002827928,
88,211,7/8/19,28¡,C,B,0.705,i,9,B C,1.067715054,
88,211,6/27/19,28¡,C,B,0.701,i,9,B C,1.083595478,
117,12,6/27/19,28¡,D,NB,0.738,b,9,NB D,1.091707486,
118,12,6/27/19,28¡,D,NB,NA,b,13,NB D,1.039641455,
119,12,7/8/19,28¡,D,NB,0.703,b,11,NB D,1.018659595,
119,12,7/21/19,28¡,D,NB,0.646,b,11,NB D,0.987867564,
119,12,6/27/19,28¡,D,NB,0.749,b,11,NB D,1.011599717,
120,12,7/21/19,28¡,D,NB,0.672,b,11,NB D,1.016105045,
120,12,7/8/19,28¡,D,NB,0.607,b,11,NB D,0.968247902,
120,12,6/27/19,28¡,D,NB,0.698,b,11,NB D,1.069950733,
121,20,6/27/19,28¡,D,NB,0.715,c,13,NB D,1.074758293,
122,20,6/27/19,28¡,D,NB,NA,c,11,NB D,1.531374443,
123,20,7/21/19,28¡,D,NB,0.673,c,9,NB D,1.022669658,
123,20,6/27/19,28¡,D,NB,0.719,c,9,NB D,1.069316249,
123,20,7/8/19,28¡,D,NB,0.728,c,9,NB D,1.042723824,
124,20,7/8/19,28¡,D,NB,0.679,c,11,NB D,0.970698763,
124,20,7/21/19,28¡,D,NB,0.658,c,11,NB D,1.013237472,
124,20,6/27/19,28¡,D,NB,0.689,c,11,NB D,1.024282628,
125,202,6/27/19,28¡,D,NB,0.71,d,11,NB D,1.090853546,spawned 7/27
126,202,6/27/19,28¡,D,NB,NA,d,11,NB D,1.15434376,
127,202,6/27/19,28¡,D,NB,0.716,d,13,NB D,1.047759207,
127,202,7/8/19,28¡,D,NB,0.71,d,13,NB D,1.064844809,
127,202,7/21/19,28¡,D,NB,0.668,d,13,NB D,1.01157787,
128,202,7/8/19,28¡,D,NB,0.671,d,11,NB D,1.050586636,
128,202,7/21/19,28¡,D,NB,0.697,d,11,NB D,0.994292977,
128,202,6/27/19,28¡,D,NB,0.712,d,11,NB D,1.077078404,
129,214,6/27/19,28¡,D,NB,0.704,j,9,NB D,1.127159316,
130,214,6/27/19,28¡,D,NB,NA,j,9,NB D,1.122806309,
131,214,6/27/19,28¡,D,NB,0.716,j,11,NB D,0.966144467,
131,214,7/8/19,28¡,D,NB,0.686,j,11,NB D,1.031069688,
131,214,7/21/19,28¡,D,NB,0.675,j,11,NB D,0.964685482,
132,214,7/8/19,28¡,D,NB,0.692,j,9,NB D,1.103546618,spawned 7/27
132,214,7/21/19,28¡,D,NB,0.665,j,9,NB D,1.011743173,spawned 7/27
132,214,7/8/19,28¡,D,NB,0.692,j,9,NB D,1.101505871,spawned 7/27
133,222,6/27/19,28¡,D,NB,0.71,k,13,NB D,1.119760889,
134,222,6/27/19,28¡,D,NB,NA,k,13,NB D,1.013555732,
135,222,6/27/19,28¡,D,NB,0.726,k,13,NB D,1.124471194,
135,222,7/21/19,28¡,D,NB,0.675,k,13,NB D,1.076008618,
135,222,7/8/19,28¡,D,NB,0.697,k,13,NB D,1.172286771,
136,222,6/27/19,28¡,D,NB,0.689,k,13,NB D,1.048641536,
136,222,7/8/19,28¡,D,NB,0.714,k,13,NB D,1.101687816,
136,222,7/21/19,28¡,D,NB,0.665,k,13,NB D,1.037956716,
